Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,suma,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,,%Toxicos
250,1.92307692307692,2638,4,0.777832402234637,2894.70090932531,618,102116,5280,568,0,0,42,10869,5849,5.4,0.4,753,,15.9,811,32,25,127705,,23308,41,200,314,237,19,28384,44.7,7912,32.2,12738,1,765,811,0,0,0.4,4.75145180023229,799,0,12,0,99,3,0,1,7411,86100,1,1,423928.7514518,2
98,0.640522875816993,2388,1,100,2587.64052287582,621,100157,5240,443,0,0,41.9,10669,5815,5.5,0.4,758,,15.5,938,23,20,125744,,22674,43,348,289,242,16,27614,45,7996,31.5,8978,1,425,938,0,0,0.3,0,915,0,23,0,220,4,0,1,7017,1530,0,1,329843.1,2
0,0,2290,0,0,2290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,0.115089514066496,719,3,8.59504132231405,775.710130836381,1472,379572,10458,48646,0,4,0.8,19994,65427,14.7,9.5,2862,,13.3,12053,729,238,511882,,52796,157,4634,3946,3096,220,60234,0.7,1892,3.7,75013,1,0,12053,0,0,0.7,0,10974,0,451,0,6139,5,7983,5,16348,0,189,5,1309521.4,3
6,0.428571428571429,674,3,22.2222222222222,705.650793650794,1472,379572,10458,48646,0,4,0.8,19994,65427,14.7,9.5,2861,,13.3,11883,729,238,511790,,52796,191,4607,3902,2978,205,60217,0.7,1892,3.7,73225,1,0,11883,0,0,0.6,0,10806,0,434,0,6219,5,8478,5,16348,0,163,1,1307473.3,2
17,0.186813186813187,668,5,11.0294117647059,701.216224951519,1472,379572,10458,48646,0,4,0.8,19994,65427,14.7,9.5,2861,,13.3,11883,729,238,511790,,52796,191,4607,3902,2978,205,60217,0.7,1892,3.7,73225,1,0,11883,0,0,0.6,0,10806,0,434,0,6219,5,8478,5,16348,1530,174,1,1309014.3,2
4,0.173913043478261,651,2,37.5,694.673913043478,1472,379577,10458,48646,0,4,0.8,19994,65428,14.7,9.5,2861,,13.3,11598,729,238,511795,,52796,179,4590,3580,3044,205,60217,0.7,1892,3.7,71589,1,0,11598,0,0,0.6,1.77148846960168,10455,0,432,0,6219,5,8838,5,16348,9540,90,1,1314469.07148847,2
15,1.875,647,7,8.61538461538462,679.490384615385,1472,379578,10458,48646,0,4,0.8,19994,65428,14.7,9.5,2861,,13.3,11575,729,238,511795,,52797,165,4590,3565,3050,205,60216,0.7,1892,3.7,71479,1,0,11575,0,0,0.6,1.64556962025316,10447,0,421,0,6074,5,8778,5,16348,9480,90,1,1314006.94556962,2
0,0,632,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1375,7.85714285714286,48781,30,0.22757072522836,50194.0847135824,8921,768905,78753,110835,0,188,26.7,134487,131178,14.6,8.2,8365,,17.8,43995,4453,1051,1359155,,273599,787,4404,13278,24800,726,331426,26.2,83020,28.3,371914,1,0,43995,0,0,1.6,0.946398659966499,40321,0,2765,0,21919,5,15942,5,84864,59700,370,5,4024256.34639866,1
745,3.94179894179894,47406,26,0.546748632259854,48181.4885475741,8760,753925,77215,106026,0,192,26.5,131795,130072,14.7,7.9,8265,,17.6,56772,4323,1038,1337486,,268167,760,4322,13009,24123,14558,324837,26.1,81226,28,360274,1,0,56772,0,0,1.6,0.802603036876356,53252,0,2721,0,20981,5,12882,5,83262,13830,369,5,3951353.20260304,1
1778,6.04761904761905,46661,29,0.232471361393098,48474.280090409,8653,743145,75919,107810,0,191,26.2,129672,129400,14.8,8.2,8160,,17.5,44437,4351,1027,1320642,,264867,772,4289,12786,25862,728,320302,25.8,80079,27.8,375958,1,0,44437,0,0,1.7,0.606375606375606,40961,0,2657,0,20291,5,13115,5,82219,28860,286,1,3892010.60637561,1
828,5.83098591549296,44883,18,0.657707560068265,45735.4886934756,7799,626300,62368,60295,0,214,28.9,105626,111712,15.1,5.2,7726,,15.1,39913,2810,973,1150350,,218101,727,4107,11492,22892,695,265134,29.4,76824,27.4,329756,1,1,39913,0,0,1.8,0.609615827007131,36266,0,2600,0,18724,5,16530,5,66577,43470,405,1,3330435.50961583,1
0,0,44055,0,0,44055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
385,0.736137667304015,2082,32,0.41593421176747,2500.15207187907,476,234387,5827,56112,0,,66.7,15600,13159,5.3,19.7,550,,30.5,10411,1423,116,285342,,52164,39,3258,4052,3001,61,42967,66.7,,,102992,1,0,10411,0,0,1.5,2.50926717992586,10334,0,77,0,1002,5,0,1,17017,35070,43,5,906095.90926718,3
28,1.55555555555556,33494,5,9.3016599885518,33537.8572155441,611,96588,7513,135,0,,84.6,16064,15350,13.7,0.1,1022,,19.1,1863,6,3,138027,,127098,0,1419,358,13,73,43721,84.8,160,28.1,24670,1,120,1851,12,0,0.9,0.938215102974828,1863,0,0,0,0,1,0,1,12295,26220,0,1,517291.238215103,2
11,11,33466,2,29.7520661157025,33519.7520661157,611,96886,7552,135,0,,84.4,16128,15410,13.7,0.1,1022,,19.2,1867,6,3,138408,,127191,0,1420,359,15,73,43860,84.6,160,28.1,24711,1,120,1855,12,0,0.9,1.06511740498669,1867,0,0,0,0,1,0,1,12304,41310,0,1,533521.065117405,2
270,3.17647058823529,33455,9,1.87481119311004,33739.0512817814,611,96844,7544,135,0,,84.5,16120,15400,13.7,0.1,1022,,19.1,1869,6,3,138357,,127180,0,1421,359,15,74,43838,84.7,160,28.1,24726,1,120,1857,12,0,0.9,0.787503227472244,1869,0,0,0,0,1,0,1,12304,38730,0,1,530811.887503228,2
729,6.81308411214953,33185,7,1.80845812833367,33929.6215422405,596,95596,7450,204,0,,83.8,16000,15016,13.6,0.1,1007,,19.3,1929,11,7,136188,,125644,0,1414,427,11,77,42888,83.9,110,22.7,25142,1,124,1917,12,0,0.9,0.709623078542851,1929,0,0,0,0,1,0,1,12272,47490,0,1,533690.009623079,2
754,7.32038834951456,32456,12,0.538320359794058,33229.8587087093,566,92419,7087,236,0,,82.2,15457,14345,13.4,0.2,973,,19.4,2309,12,5,131258,,105788,2,1465,743,11,88,41616,82.3,110,22.7,28692,1,128,2296,13,0,1,2.42528735632184,2309,0,0,0,0,1,0,1,12244,130500,0,1,590899.625287356,2
17,17,31702,3,33.0882352941176,31772.0882352941,562,93134,7123,328,0,,81.7,15701,14556,13.5,0.2,1000,,19.3,2488,19,8,132784,,103791,2,1624,754,13,95,41853,81.8,110,22.7,30898,1,131,2462,26,0,1.1,0.96061140505585,2488,0,0,0,0,1,0,1,12461,85050,0,1,549686.260611405,2
1256,3.96214511041009,31685,18,0.188027518656417,32963.1501726291,562,93134,7123,328,0,,81.7,15701,14556,13.5,0.2,1000,,19.3,2488,19,8,132784,,103791,2,1624,754,13,95,41853,81.8,110,22.7,30898,1,131,2462,26,0,1.1,0.96061140505585,2488,0,0,0,0,1,0,1,12461,85050,0,1,549686.260611405,2
0,0,30429,0,0,30429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4847,0,0,4847,1114,164078,10530,5960,0,0,2.1,18505,15088,8.4,2.5,1689,,12.6,4331,244,127,242817,,39312,42,247,2687,1295,60,46475,1.7,6418,4.8,25705,1,7,4331,0,0,0.5,0.0793734415059881,2980,0,1299,0,4244,3,1290,5,11356,284730,22,5,897029.679373442,1
